N° Exercice	N° Porte	Condition	Type de porte	Largeur de porte	Hauteur de porte	Reponse	Corpulence utilisateur			Corpulence docteur			Difference de corpulence			Temps de reponse
1	106	1	1	6.59633	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.178
1	107	1	1	9.83945	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.167
1	108	1	1	8.458715	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.279
1	109	1	1	9.293578	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.166
2	1	1	3	3.533333	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.974
2	2	1	3	3.533333	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.092
2	3	1	3	6.766667	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.229
2	4	1	3	6.766667	15	0	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.167
2	5	1	3	0.3	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.212
2	6	1	3	0.3	15	1	113.69	107.7	121.26	57.33	80.71	77.24	-49.5734	-25.06035	-36.30216	0.156
